event_id_cnty,notes,gold_label,gold_label_full,actor_norm
CAO15044,"On 28 July 2024, the military forces from the Rapid Intervention after being alerted ambushed 2 Ambazonian Separatists at a private residence in Afap (Mamfe, Manyu, Sud-Ouest). The soldiers shot and killed 1 Separatist while the other escaped with bullet wounds.",B,Battles,State forces (Cameroon)
CAO3666,"On 12 September 2020, military forces repelled an attack of Boko Haram in Kassa village, near Tolkomari (Mayo-Sava, Extreme-Nord). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO15246,"Property destruction: On 7 August 2024, security forces, coded as the military forces, shot and damaged some 15 commercial motorbikes in Bamenda - Mankon (Bamenda 2, Mezam, Nord-Ouest) during a military operation following the Ambazonian Separatists' killing of 2 police officers on 7 August 2024 (coded as a separate event).",S,Strategic developments,State forces (Cameroon)
CAO13574,"On 17 April 2024, security forces, coded as the military forces arrested some 25 civilians (18 men and 7 women) during a military operation from their private residence in Kukaka (Konye, Meme, Sud-Ouest) for an unknown reason.",S,Strategic developments,State forces (Cameroon)
CAO9341,"On 28 February 2023, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists from the Restoration Forces at their checkpoint in Eyumodjock commune, coded to Eyumojock (Manyu, Sud-Ouest). The Separatists were extorting a truck driver and cocoa dealer for money when the confrontation started. No casualties.",B,Battles,State forces (Cameroon)
CAO9047,"On 21 August 2022, military forces fired several gunshots for about 15 minutes at a funeral ceremony near the City Chemist roundabout in Bamenda city (Bamenda 1, Mezam, Nord-Ouest) after they suspected the presence of armed fighters (likely Ambazonian separatists). No casualties.",V,Violence against civilians,State forces (Cameroon)
CAO7134,"On 28 February 2023, the Cameroonian military forces (BIM) opened fire on an unidentified armed group that was moving towards their outpost in Geldavi (also called Goldavi) (Koza, Mayo-Tsanaga, Extreme-Nord). The assailants retreated. There were no fatalities.",B,Battles,State forces (Cameroon)
CAO5545,"On 2 October 2021, the gendarmerie forces shot and killed the leader of a taxi drivers union in Tinto village, Upper Bayang subdivision (Manyu, Sud-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO14070,"On 28 April 2024, military forces clashed with Ambazonian Separatists during an operation in Muyuka (Muyuka, Fako, Sud-Ouest). The military arrested 4 militants. No casualties.",B,Battles,State forces (Cameroon)
CAO7678,"Movement of forces: On 10 August 2023, the military forces were deployed to Djourou and Guederou areas, coded to Guederou (Kolofata, Mayo-Sava, Extreme-Nord) to ensure security after some 20 armed men were seen in the area.",S,Strategic developments,State forces (Cameroon)
CAO8522,"On 17 February 2024, the military forces clashed with the Ambazonian Separatists in Ayukaba (Mamfe, Manyu, Sud-Ouest) during a military operation. At least 4 Separatists and 1 civilian were killed. The village is seen as a Separatist stronghold in the area.",B,Battles,State forces (Cameroon)
CAO3302,"On 24 May 2020, the military forces raided the house of an imprisoned journalist in Bamenda town (Mezam, Nord-Ouest), reportedly beating up his sister and her 13-year old daughter. They took away telephones.",V,Violence against civilians,State forces (Cameroon)
CAO10124,"On 18 December 2022, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists in Wombong, Boyo department, coded to Fundong (Boyo, Nord-Ouest). Two Separatists died during the confrontation while a third who escaped with bullet wounds later died in the hospital. Their weapons, ammunition, and other materials were retrieved and seized by the military.",B,Battles,State forces (Cameroon)
CAO6698,"On 28 October 2022, the Cameroonian military forces clashed with suspected ISWAP or Boko Haram fighters stationed on the Kirta Island, coded to Darak (Darak, Logone-et-Chari, Extreme-Nord) leading to the death of 1 soldier. The soldier was killed by an IED explosion triggered by a mobile phone.",B,Battles,State forces (Cameroon)
CAO3752,"Around 15 September 2020 (month of), the military forces reportedly arrested 2 Ambazonian separatists in Ngarbuh village, and killed them on the road between Ngarbuh and Nkambe town (Donga-Mantung, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO9917,"On 10 December 2022, military forces shot and wounded an Ambazonian Separatist when they raided Nsih-O-Do, coded to Ndu (Donga-Mantung, Nord-Ouest). The house which the Separatists who escaped was found in was set ablaze by the soldiers.",B,Battles,State forces (Cameroon)
CAO7777,"Movement of forces: Around 9 September 2023, additional military forces (Rapid Intervention) were deployed to recapture the town of Abana, coded to Isangele (Isangele, Ndian, Sud-Ouest) from the BNL (Black Marines faction).",S,Strategic developments,State forces (Cameroon)
CAO11563,"On 21 June 2023, government forces, coded as military, raped a 12-year-old girl in Atoini, coded to Njinikom (Boyo, Nord-Ouest). No further information is available.",V,Violence against civilians,State forces (Cameroon)
CAO15906,"Other: On 9 October 2024, the security forces, coded as the military forces, fired sporadic shots in the air in Tobin (Kumbo, Bui, Nord-Ouest) after spotting Ambazonian Separatists around the military base. There were no exchange of fire between the two group. During the gunfire, economic activities and the movement of people stopped for several minutes.",S,Strategic developments,State forces (Cameroon)
CAO12008,"On 17 October 2023, state security forces (coded as military) shot at Ambazonian Separatists from the Restoration Forces operating a vehicular checkpoint in Sop (Bui, Nord-Ouest). One Separatist was killed, and three others were injured.",B,Battles,State forces (Cameroon)
CAO10466,"On 23 March 2023, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists from the Restoration Forces in Lobange (Meme, Sud-Ouest), targeting a high-profile Separatist 'General Black Wrappen.' One Separatist and one solider were killed, and a Separatist's motorbike was taken by the soldiers. The military arrested 25 civilians (19 male and 6 female) f",B,Battles,State forces (Cameroon)
CAO12836,"On 23 April 2022, gunshots were heard in Ntamulung, Bamenda 3 subdivision (coded to Bamenda - Njah). They are thought to be related to a confrontation between an unknown armed group and the military.",B,Battles,State forces (Cameroon)
CAO6887,"On 1 January 2023, a drunk Cameroonian soldier attacked two teenage boys in Wum (Wum, Menchum, Nord-Ouest) by shooting them in the leg. The victims were taken to the hospital for treatment. The soldier accused the boys of being separatist fighters.",V,Violence against civilians,State forces (Cameroon)
CAO12777,"On 4 March 2022, military forces and Ambazonian separatists engaged in an armed clash at Mulang (Bamenda - Njah, Bamenda 3,Mezam, Nord-Ouest). There were no reported casualties.",B,Battles,State forces (Cameroon)
CAO10421,"On 4 April 2023, State security forces (Air Force), coded as the military forces, clashed with Ambazonian Separatists in Bole Bakundu (Kumba 1, Meme, Sud-Ouest). There were no fatalities. The Separatists had tried to abduct civilians who they accused were responsible for the killing of a civilian by the military forces.",B,Battles,State forces (Cameroon)
CAO11213,"On 14 January 2024, the military engaged in a gun fight with Ambazonian Separatists in Mbven, Kumbo subdivision (Kumbo, Bui, Nord-Ouest), coded to Kumbo. This resulted in the death of two Separatists and two civilians who were on transit, total 4 fatalities.",B,Battles,State forces (Cameroon)
CAO9860,"On 7 January 2023, the state security forces, coded as the military forces arrested 30 civilians in Teke near Kumba (Kumba 1, Meme, Sud-Ouest). Those arrested include a community leader who had been abducted but later released by the Separatists fighters. The reason for the arrest is not known.",S,Strategic developments,State forces (Cameroon)
CAO9728,"Other: On 10 June 2022, military forces, while passing through, fired several gunshots in the air near Kitiwum (Bui, Nord-Ouest) as they suspected the presence of Ambazonian Separatists fighters which provoked an uneasy calm.",S,Strategic developments,State forces (Cameroon)
CAO14593,"Other: Around 21 July 2024 (as reported), the police forces arrested a social media activist at the border between Gabon and Cameroon in Kye-Ossi (Kye-Ossi, Vallee-du-Ntem, Sud). His whereabouts are unknown. Human rights groups fear him to be a victim of enforced disappearance. The victim lived in Gabon and was known for posting videos criticizing the Cameroonian government.",S,Strategic developments,State forces (Cameroon)
CAO12159,"On 1 August 2023, state security forces (coded as military) shot dead a man along the road in Sop (Bui, Nord-Ouest). While leaving the area, they shot indiscriminately ,which wounded a child at his home.",V,Violence against civilians,State forces (Cameroon)
CAO9881,"On 1 December 2022, military forces arrested an unspecified number of civilian and tortured them in Ediki (Kumba 3, Meme, Sud-Ouest). The officers were in an operation in search of armed fighters (likely Ambazonian Separatists). The group was attacked for not reporting the presence of fighters within their community. No information on the group's conditions.",V,Violence against civilians,State forces (Cameroon)
CAO9634,"On 3 January 2021, state security forces, coded as military, raided and clashed with Ambazonian Separatists at a camp in Fontem (Lebialem, Sud-Ouest). Three Ambazonian Separatists were killed, one General captured and the rest succeeded to run away. Guns and ammunitions were recovered.",B,Battles,State forces (Cameroon)
CAO3903,"On 20 September 2020, the military forces opened fire on civilians in Obang village (Mezam, Nord-Ouest), killing 2.",V,Violence against civilians,State forces (Cameroon)
CAO14817,"Defusal: On 8 July 2024, the security forces, likely the military forces discovered and defused an IED planted by Ambazonian Separatists in Ngyenmbo (Mbengwi, Momo, Nord-Ouest). It is suspected that the Separatists were targeting the military forces.",S,Strategic developments,State forces (Cameroon)
CAO9449,"On 20 November 2022, military forces ambushed and killed an Ambazonian Separatist in Armour Mezam Park in Ndop commune, coded to Ndop (Ngo-Ketunjia, Nord-Ouest), after being informed of his presence.",B,Battles,State forces (Cameroon)
CAO11010,"On 7 February 2024, the military forces exchanged fire with Boko Haram (JAS) (likely) militants during an ambush along the Gabass - Nguetchewe axis, Nguetchewe subdivision (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord), coded to Nguetchewe. The military forces shot killed at least four male militants and arrested one other.",B,Battles,State forces (Cameroon)
CAO6151,"On 9 June 2022, Cameroonian military forces exchanged gunshots with suspected separatists and killed a disabled civilian in Belo (Tubah, Mezam, Nord-Ouest). Unclear why the military was targeting civilians.",B,Battles,State forces (Cameroon)
CAO10158,"On 5 January 2023, state security forces (coded as military) gathered an unspecified number of civilians in Bombe (Meme, Sud-Ouest), tortured them, and transferred them to their unit in Balangi. They arrived in the community after chasing an Ambazonian Separatist into the community and failing to apprehend him. No information on injuries.",V,Violence against civilians,State forces (Cameroon)
CAO8682,"On 27 March 2024, the military forces clashed with Ambazonian Separatists at the Separatist hideout in Kedjom-Keku (Tubah, Mezam, Nord-Ouest). Unspecified fatalities, coded as 3.",B,Battles,State forces (Cameroon)
CAO3188,"On 16 April 2020, military forces killed three former Ambazonian separatists in Balikumbat town (Ngo-ketunjia, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO4599,"On 22 December 2020, the military forces engaged in fire fights with Ambazonian separatists in Mile 6 Mankon neighborhood of Bamenda town (Mezam, Nord-Ouest). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO10670,"Other: On 19 May 2023, state security forces (coded as military) fired 'continuous warning gunshots' a few kilometers away from Fossimondi (Lebialem, Sud-Ouest). They were there in response to a tip that Ambazonian Separatists were present in the area.",S,Strategic developments,State forces (Cameroon)
CAO6951,"Property destruction: Around 17 December 2022, the Cameroonian military forces burnt dozens of civilian houses in Yer-Dzekwa, coded to Kumbo (Kumbo, Bui, Nord-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO4318,"Around 28 January 2021, the military forces repelled an attack of Boko Haram in Yegwa village (Mayo-Sava, Extreme-Nord), injuring several assailants.",B,Battles,State forces (Cameroon)
CAO4163,"On 12 December 2020, the military forces shot and killed two civilians in Mkpot village, Mamfe subdivision (Manyu, Sud-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO15437,"Defusal: On 29 August 2024, the military forces from the Rapid Intervention were informed by civilians and deactivated an IED planted by Ambazonian Separatists from the Restoration Forces faction in Akwen (Mamfe, Manyu, Sud-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO5486,"On 16 August 2021, the military forces arrested and tortured several civilians in the village of Bossa, Bali subdivision (Mezam, Nord-Ouest), in a bid for them to reveal the hideouts of separatist fighters.",V,Violence against civilians,State forces (Cameroon)
CAO13670,"On 15 April 2024, state security forces, coded as the military forces from the Rapid Intervention, beat and arrested 2 civilian from the road in Bonganjo (Buea, Fako, Sud-Ouest). There were no fatalities.",V,Violence against civilians,State forces (Cameroon)
CAO3762,"On 13 October 2020, the military forces killed one person in Musang neighborhood of Bamenda town (Mezam, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO12863,"On 9 January 2021, state forces attacked Owe (Muyuka, Fake, Sud-Ouest) and arrested a civilian suspected of being a member of an armed group.",V,Violence against civilians,State forces (Cameroon)
CAO7439,"On 24 June 2023, the military forces attacked civilians in Ekona (Bangem, Kupe-Manenguba, Sud-Ouest). 5 civilians were killed. The identity of the victims and the reason they were attacked are unknown. Several houses were burnt.",V,Violence against civilians,State forces (Cameroon)
CAO9885,"On 2 December 2022, military forces clashed with Ambazonian Separatists in Mboka (Kupe-Manenguba, Sud-Ouest). The group had mounted a roadblock to prevent the body of a popular government official from being transported to the village. The group retreated after the clash, no casualties.",B,Battles,State forces (Cameroon)
CAO11523,"On 29 June 2023, Gendarmerie forces fired sporadic gunshots in the air to scare away any Ambazonian Separatists in Mulang (Bamenda - Njah, Bamenda 3, Mezam, Nord-Ouest). This came after an unidentified armed group fired shots along the Nchualam- Mbengwi road. There were no fatalities or injuries.",B,Battles,State forces (Cameroon)
CAO14073,"On 27 April 2024, Cameroon forces clashed with an unidentified armed group (pirates) in the high seas in the Gulf of Guinea. 2 pirates were killed, while two others were arrested. The traditional ruler of Dibondo, who had been abducted by the pirates, was freed by the soldiers.",B,Battles,State forces (Cameroon)
CAO3489,"Around 18 July 2020 (weekend of), the military forces engaged in firefights with Ambazonian separatists in several locations of Santa subdivision, including Baba II village (Mezam, Nord-Ouest). 15 separatists were reportedly killed, including one commander. Another commander arrested. Fatalities split across 4 events.",B,Battles,State forces (Cameroon)
CAO7435,"On 25 June 2023, the military forces shot a captured Ambazonian Separatists fighter in Kumba (Ekondo Titi, Ndian, Sud-Ouest). The separatist was killed as he was trying to escape.",V,Violence against civilians,State forces (Cameroon)
CAO13957,"On 15 May 2024, state security forces, coded as the military forces, shot and killed an Ambazonian Separatist commander at a checkpoint in Naka road, coded to Bamenda (Bamenda 3, Mezam, Nord-Ouest). The separatist was disguised and was identified as he attempted to pass through the checkpoint.",B,Battles,State forces (Cameroon)
CAO3199,"On 20 April 2020, the military's rapid intervention battalion ambushed Boko Haram fighters on the Maloumri-Amchide road, in Kolofata subdivision (Mayo-Sava, Extreme-Nord), killing 3 and arresting 3 others.",B,Battles,State forces (Cameroon)
CAO12520,"On 4 May 2023, state security forces (coded as military) arrested an Ambazonian Separatist from the Restoration Forces from a restaurant in Eyumojock (Manyu, Sud-Ouest). There were no fatalities.",B,Battles,State forces (Cameroon)
CAO10990,"On 9 January 2024, the military forces attacked a major Ambazonian Separatists hideout in Ewa (Batibo, Momo, Nord-Ouest), which resulted in the killing of about five, while about six others escaped with injuries.",B,Battles,State forces (Cameroon)
CAO13198,"On 22 March 2024, the military forces from the Rapid Intervention shot and killed the sister of an Ambazonian Separatist commander from the Restoration forces faction at their private residence in Ekumbe Liongo (Bamusso, Ndian, Sud-Ouest). The attack occurred during an unsuccessful operation to arrest the Separatist commander.",V,Violence against civilians,State forces (Cameroon)
CAO12747,"On 1 May 2022, the military arrested a suspected Ambazonian separatist in (Bamenda 2, Mezam, Nord-Ouest) coded to Bamenda - Mankon and accused him of detonating an IED around the ceremonial ground after a remote detonation device was discovered on him.",S,Strategic developments,State forces (Cameroon)
CAO6066,"On 7 May 2022, assumed Cameroonian military forces killed 1 man at the Travelers neighborhood in Bamenda (Bamenda 1, Mezam, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO11500,"On 20 June 2023, Gendarmerie forces clashed with the Ambazonian Separatists in Akeh, coded as Njinikom (Njinikom,Boyo,Nord-Ouest). 2 Separatists were killed. The Gendarmerie forces set fire to some civilian houses.",B,Battles,State forces (Cameroon)
CAO4315,"On 27 January 2021, the military forces opened fire on civilians during a raid in Pinyin village (Mezam, Nord-Ouest). No fatality and/or casualty reported.",V,Violence against civilians,State forces (Cameroon)
CAO11906,"On 4 October 2023, Gendarmerie forces, tortured 3 civilians on motorbikes at a vehicle checkpoint in Kakar (Ndu, Donga-Mantung, Nord-Ouest) before arresting them. The Gendarmerie forces suspected that they had ties with the Ambazonian Separatists from Kakar who had previously attacked The Gendarmerie forces members.",V,Violence against civilians,State forces (Cameroon)
CAO15739,"On 1 October 2024, the security forces (coded as the military forces) ambushed and killed 3 Ambazonian Separatists from the Restoration Forces faction by the road in Barombi Mbo (Kumba 1, Meme, Sud-Ouest). The Separatists did not return fire during the attack, and their commander managed to flee despite sustaining bullet wounds. The military forces displayed the bodies of the deceased separatists ",B,Battles,State forces (Cameroon)
CAO2996,"On 15 February 2020 (or around), military forces killed one person in Tatum village (Bui, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO3744,"On 5 October 2020, the military forces engaged in fire fights with Ambazonian separatists in Bamenda town (Mezam, Nord-Ouest). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO10042,"On 9 January 2023, state security forces, coded as the military force tortured an unspecified number of civilians in Matondo II (Konye, Meme, Sud-Ouest) for refusing to help them locate Separatists hideouts. There were no fatalities. 5 were injured.",V,Violence against civilians,State forces (Cameroon)
CAO3060,"On 3 March 2020, military forces beat up and severely injured one person in Wum village (Menchum, Nord-Ouest), after he was reportedly accused of 'bargaining too much on the price of firewood he was selling'.",V,Violence against civilians,State forces (Cameroon)
CAO13564,"On 21 April 2024, gendarmerie officers clashed with Ambazonian Separatists from the Restoration Forces faction at the Separatist hideout in Kouki (Mbven, Bui, Nord-Ouest). There were no fatalities. No information on the injuries.",B,Battles,State forces (Cameroon)
CAO12040,"On 11 October 2023, state security forces (coded as military) attacked Ambazonian Separatists in transit from Bamenda to Nforya, coded to Bamenda (Mezam, Nord-Ouest) after they hijacked two vehicles. Casualties unknown.",B,Battles,State forces (Cameroon)
CAO3900,"On 15 September 2020, the military forces killed two civilians during a raid in Obang village (Mezam, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO11184,"On 22 January 2024, the military mistakenly shot and killed three men who were harvesting mangoes at farm in Mavas, Mamfe subdivision (Mamfe, Manyu, Sud-Ouest), coded to Mamfe.",V,Violence against civilians,State forces (Cameroon)
CAO6903,"Around 6 January 2023, Cameroonian police arrested some civilians including some quarter heads in Bamenda (Bamenda 1, Mezam, Nord-Ouest) after the killing of an off-duty gendarmerie officer by Ambazonian Separatists (coded as a separate event).",S,Strategic developments,State forces (Cameroon)
CAO5294,"On 5 July 2021, a group of soldiers allegedly sent by the driver of the Defense Minister severely beat up and arrested one person in Nkolo neighborhood of Yaounde city, Yaounde 1 subdivision (Mfoundi, Centre). The victim was having a private dispute with the Minister's driver.",V,Violence against civilians,State forces (Cameroon)
CAO5288,"On 4 July 2021, the military forces shot and killed one person at Below-Foncha neighborhood of Bamenda town, Bamenda 1 subdivision (Mezam, Nord-Ouest). The army later released a statement saying that they later found out that the victim was an Ambazonian separatist.",V,Violence against civilians,State forces (Cameroon)
CAO10404,"On 9 April 2023, State security forces, coded as the military forces, clashed with the Ambazonian Separatists in Akwa (Kombo Itindi, Ndian, Sud-Ouest). 7 Separatists and 2 soldiers were killed. Several were also injured.",B,Battles,State forces (Cameroon)
CAO14345,"On 8 May 2024, the military forces from the Rapid Intervention Battalion clashed with Ambazonian Separatists during an operation their hideout in Besi (Batibo, Momo, Nord-Ouest). 2 militants were killed while others fled.",B,Battles,State forces (Cameroon)
CAO14724,"On 26 August 2024, the military forces from Cameroon clashed with the military forces from Chad at the military barracks in Darak (Darak, Logone-et-Chari, Extreme-Nord) during a joint military operation in the Lake Chad area. There were no fatalities. 1 unidentified soldier was injured.",B,Battles,State forces (Cameroon)
CAO9889,"On 23 September 2021, state forces, coded as military, ambushed Ambazonian Separatists in Small Ekombe (Meme, Sud-Ouest) where a military vehicle hit an IED explosion the previous day. Many Ambazonian Separatists were killed. Unspecified number of fatalities coded as 3.",B,Battles,State forces (Cameroon)
CAO15893,"On 12 October 2024, security forces, coded as the military forces ambushed and clashed with the Ambazonian Separatists from the Southern Cameroons Defence Forces faction at a Separatist hideout in Butu (Konye, Meme, Sud-Ouest). 6 Separatists including a commander, were killed. Military forces recovered a motorcycle.",B,Battles,State forces (Cameroon)
CAO2838,"On 13 January 2020, military forces attacked the village of Ngemsibaa, in Oku subdivision (Boyo, Nord-Ouest) [coded: Oku], and burnt houses. No fatality and/or casualty reported.",V,Violence against civilians,State forces (Cameroon)
CAO10647,"Defusal: On 16 May 2023, the State security forces, coded as the military forces, detonated an IED planted by the Ambazonian Separatist from the Restoration Forces in Nganjo (Mbonge, Meme, Sud-Ouest) while firing warning shots in the air. The military forces were escorting the Mayor of Mbonge when they detected the IED on the road.",S,Strategic developments,State forces (Cameroon)
CAO15524,"On 2 September 2024, security forces, coded as the military forces ambushed and clashed with Ambazonian Separatists from the Restoration Forces faction at the military base in Kandef in the subdivision capital Muyuka (Muyuka, Fako, Sud-Ouest). 1 Separatist was killed.",B,Battles,State forces (Cameroon)
CAO15038,"Other: On 24 July 2024, security forces, coded as the military forces fired warning gunshots in the air at the market in Dibonda (Toko, Ndian, Sud-Ouest) after some traders refused to sell food items to them. There were no fatalities.",S,Strategic developments,State forces (Cameroon)
CAO6575,"On 22 September 2022, Cameroonian military forces clashed with suspected Boko Haram (JAS) (likely) fighters in Limina, coded to Limani (Mora, Mayo-Sava, Extreme-Nord). Unknown fatalities or injuries The assailants were about to attack civilians when the military intervened.",B,Battles,State forces (Cameroon)
CAO3869,"On 21 July 2020, the military forces engaged in a fire fight with Ambazonian separatists in Njinikom village (Boyo, Nord-Ouest). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO9182,"On 9 March 2023, state security forces coded as military forces arrested 30 civilian men at Mile 4, Limbe (Fako, Sud-Ouest) during a cordon and search operation by the forces in the area.",S,Strategic developments,State forces (Cameroon)
CAO6135,"On 1 June 2022, Cameroonian military forces conducted a raid to dislodge Ambazonian Separatists at their hideout and killed two Separatists including one former fighter in Nyikob, coded to Njikwa (Momo, Nord-Ouest). The former fighter had laid down his weapons 2 years prior to his death, three other fighters were arrested.",B,Battles,State forces (Cameroon)
CAO4556,"Around 17 April 2021 (as reported), the army's rapid intervention forces killed one Ambazonian separatist commander in Guneku village, Mbengwi town, Mbeggwi subdivision (Momo, Nord-Ouest).",B,Battles,State forces (Cameroon)
CAO5094,"On 15 March 2021, the military forces engaged in fire fights with Ambazonian separatists in Bukue village, Ndop subdivision (Ngo-Ketunjia, Nord-Ouest). One civilian was killed by a stray bullet.",B,Battles,State forces (Cameroon)
CAO9618,"On 2 November 2022, military forces, after being tipped off, invaded a funeral ceremony in Fekeng, Oku commune, coded to Oku (Bui, Nord-Ouest) where some Ambazonian Separatists were spotted and immediately opened fire. As a result, 1 fighter and 1 male civilian were killed by the military.",B,Battles,State forces (Cameroon)
CAO8931,"On 11 May 2022, the military forces fired several gunshots from their base at suspected Ambazonian Separatist fighters at the Hospital round about Bamenda (Bamenda 1, Mezam, Nord-Ouest). There were no fatalities.",B,Battles,State forces (Cameroon)
CAO10519,"On 21 October 2022, state security forces, coded as military, fired multiple gunshots to scare Ambazonian Separatists from attacking them after one of their vehicles broke down in Bafut (Mezam, Nord-Ouest). No casualties.",B,Battles,State forces (Cameroon)
CAO5627,"Around 24 October 2021 (as reported), the military forces opened fire on BNL fighters who were erecting barricades in Cameroon-Nigeria border area in Bakassi Peninsula, Kombo Abedimo subdivision (Ndian, Sud-Ouest). 2 BNL fighters were killed.",B,Battles,State forces (Cameroon)
CAO10925,"On 1 January 2024, the military forces ambushed Ambazonian Separatists at an open commercial space in Berabe village (Ako, Donga-Mantung, Nord-Ouest), killing one while others escaped with bullet injuries.",B,Battles,State forces (Cameroon)
CAO10441,"On 29 March 2023, state security forces (coded as military) shot and killed a male civilian in Baingo near Mbingo (Boyo, Nord-Ouest). The soldiers had searched the victim's phone and saw information linking him to Ambazonian Separatists.",V,Violence against civilians,State forces (Cameroon)
CAO9664,"On 29 June 2022, military forces ambushed and killed one Ambazonian Separatists at a checkpoint mounted by the Separatists in Mukete camp in Kumba (Meme, Sud-Ouest).",B,Battles,State forces (Cameroon)
CAO2944,"On 6 February 2020, gunshots were heard in the villages around Mbonge subdivision (Meme, Sud-Ouest) [coded: Mbonge] as the military forces engaged in fire fight with Ambazonian separatists. No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO6334,"Around 31 July 2022, the Cameroonian military forces (Rapid Intervention) killed a Boko Haram (JAS) fighter along the Amchide - Kolofata road, coded to Amchide (Kolofata, Mayo-Sava, Extreme-Nord)",B,Battles,State forces (Cameroon)
CAO13743,"On 30 May 2024, the military forces from the Rapid Intervention fired several shots at suspected ISWAP or Boko Haram militants in Djakana (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities. No information on the injuries.",B,Battles,State forces (Cameroon)
CAO12168,"On 28 August 2023, state security forces, coded as the military forces, arrested about 50 civilians from their private residences in Molyko (Buea, Fako, Sud-Ouest) during a cordon and search operation.",S,Strategic developments,State forces (Cameroon)
CAO3644,"Around 7 September 2020 (as reported), military forces reportedly killed a chief of a gang alongside with 6 of his gang members in their camp in Bapo forest, near Mbonge town (Meme, Sud-Ouest).",B,Battles,State forces (Cameroon)
CAO4713,"On 1 January 2021, the military forces engaged in fire fights with Ambazonian separatists in Balikumbat town (Ngo-Ketunjia, Nord-Ouest), resulting in 6 people getting killed.",B,Battles,State forces (Cameroon)
CAO11363,"On 8 January 2024, the military forces arrested approximately 100 civilians in Small Ekombe (Kumba 1, Meme, Sud-Ouest) after spotting Ambazonian Separatists in the vicinity. The individuals were accused of failing to report the presence of Ambazonian Separatists in their community.",S,Strategic developments,State forces (Cameroon)
CAO13960,"On 16 May 2024, state security forces, coded as the military forces, ambushed Ambazonian Separatists at an informal checkpoint in Ndzenji locality, Kumbo subdivision (Bui, Nord-Ouest). Three Separatists were killed while one was injured. The casualties on military forces' side remain unknown.",B,Battles,State forces (Cameroon)
CAO9991,"On 27 December 2022, military forces tortured an Ambazonian Separatists fighter whom they had captured at an abandoned school in Satum (Mamfe, Manyu, Sud-Ouest). No information on injuries.",V,Violence against civilians,State forces (Cameroon)
CAO14655,"On 23 August 2024, the military forces attacked and clashed with Boko Haram (JAS) (likely) militants at the militant hideout in Walassa (Kolofata, Mayo-Sava Extreme-Nord). 5 militants were killed and the military forces recovered weapons, ammunition and military equipment. 3 other bodies were found some days later toward Amchide. Total fatalities coded as 8.",B,Battles,State forces (Cameroon)
CAO10353,"On 19 April 2023, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists in Bamenda - Mankon (Mezam, Nord-Ouest). 4 Separatists were killed, and one soldier was severely wounded. Some ammunition was recovered.",B,Battles,State forces (Cameroon)
CAO4583,"On 25 April 2021, Boko Haram fighters ambushed soldiers of the rapid intervention force in Maison Blanche neighborhood of Waza town (Logone-et-Chari, Extreme-Nord). The military repelled the attack and seized a motorbike. No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO3332,"On 31 May 2020, soldiers severely beat up and injured a journalist in Bamenda town (Mezam, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO10605,"On 10 May 2023, state security forces (coded as military) shot a civilian in the leg in Lobange (Meme, Sud-Ouest) when he attempted to escape as they arrested him and two other civilians. They were accused of raising funds for Ambazonian Separatists. No additional information.",V,Violence against civilians,State forces (Cameroon)
CAO11761,"On 16 July 2023, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists in Agyati (Mezam, Nord-Ouest). No casualties.",B,Battles,State forces (Cameroon)
CAO10653,"Other: On 17 May 2023, State security forces, coded as the military forces, fired warning gunshots in the air in Mundemba (Mundemba, Ndian, Sud-Ouest) after suspecting the presence of the Ambazonian Separatists.",S,Strategic developments,State forces (Cameroon)
CAO15256,"Other: On 8 August 2024, police forces cordoned off and searched civilian residents during an operation to dislodge Ambazonian Separatists from their hideouts at Nitop 4 and 5 neighborhoods in Bamenda - Mankon (Bamenda 2, Mezam, Nord-Ouest). During the operation, the police forces broke doors and forcefully entered civilian homes. There were no fatalties or injuries.",S,Strategic developments,State forces (Cameroon)
