model,event_id,true_label,pred_label,pred_conf,latency_sec,actor_norm
mistral,NIG26316,V,V,0.95,1.77,Police Forces of Nigeria
mistral,NIG36153,V,V,0.95,1.91,Military Forces of Nigeria
mistral,NIG30178,V,P,0.85,1.78,Police Forces of Nigeria
mistral,NIG11607,V,V,0.85,1.15,Police Forces of Nigeria
mistral,NIG29008,B,B,0.95,1.76,Military Forces of Nigeria
mistral,NIG18258,V,V,0.95,1.62,Police Forces of Nigeria
mistral,NIG35514,V,V,0.95,1.92,Police Forces of Nigeria Prison Guards
mistral,NIG36023,V,V,0.85,1.78,Military Forces of Nigeria
mistral,NIG20351,B,B,0.95,1.79,Military Forces of Nigeria
mistral,NIG20137,B,B,0.95,1.81,Military Forces of Nigeria
mistral,NIG22883,V,V,0.95,1.95,Police Forces of Nigeria
mistral,NIG26278,E,B,0.95,1.77,Military Forces of Nigeria
mistral,NIG14699,E,B,0.95,1.63,Military Forces of Nigeria
mistral,NIG12403,V,V,0.95,1.69,Military Forces of Nigeria
mistral,NIG7631,V,V,0.8,1.56,Military Forces of Nigeria
mistral,NIG36470,V,V,0.95,1.63,Police Forces of Nigeria
mistral,NIG11161,B,V,0.85,1.64,Police Forces of Nigeria
mistral,NIG19507,B,B,0.85,1.94,Military Forces of Nigeria
mistral,NIG22436,V,V,0.85,1.77,Police Forces of Nigeria
mistral,NIG30272,V,V,0.95,2.0,Police Forces of Nigeria
mistral,NIG26317,V,V,0.85,1.79,Police Forces of Nigeria Nigeria Customs Service
mistral,NIG37126,V,V,0.95,1.77,Police Forces of Nigeria
mistral,NIG17646,E,B,0.95,1.61,Military Forces of Nigeria
mistral,NIG8583,V,V,0.85,1.61,Military Forces of Nigeria
mistral,NIG39462,B,B,0.95,1.77,Police Forces of Nigeria
mistral,NIG35968,B,B,0.95,1.79,Military Forces of Nigeria
mistral,NIG14117,V,V,0.85,1.17,Police Forces of Nigeria
mistral,NIG26143,V,V,0.85,1.77,Police Forces of Nigeria
mistral,NIG37868,V,P,0.95,1.8,Police Forces of Nigeria
mistral,NIG20819,B,B,0.95,1.64,Police Forces of Nigeria
mistral,NIG5409,V,V,0.95,1.47,Police Forces of Nigeria
mistral,NIG17226,B,B,0.95,1.63,Military Forces of Nigeria
mistral,NIG21931,V,V,0.95,1.71,Military Forces of Nigeria
mistral,NIG37316,E,E,0.95,1.63,Military Forces of Nigeria
mistral,NIG24556,V,V,0.95,1.64,Military Forces of Nigeria
mistral,NIG35709,S,V,0.85,2.0,Military Forces of Nigeria
mistral,NIG24099,V,V,0.85,1.6,Military Forces of Nigeria Lagos State Task Force
mistral,NIG32918,V,V,0.85,1.75,Military Forces of Nigeria
mistral,NIG37556,B,B,0.95,1.93,Military Forces of Nigeria
mistral,NIG19397,V,V,0.95,1.92,Military Forces of Nigeria
mistral,NIG37282,V,V,0.95,1.62,Police Forces of Nigeria
mistral,NIG37432,B,B,0.95,1.74,Military Forces of Nigeria
mistral,NIG22543,V,V,0.95,1.59,Military Forces of Nigeria
mistral,NIG7527,V,V,0.9,1.25,Military Forces of Nigeria
mistral,NIG38677,B,B,0.95,1.74,Military Forces of Nigeria
mistral,NIG20667,B,B,0.95,1.62,Military Forces of Nigeria
mistral,NIG36045,V,V,0.95,1.77,Police Forces of Nigeria Nigeria Customs Service
mistral,NIG27590,V,V,0.95,1.57,Police Forces of Nigeria
mistral,NIG9290,S,B,0.95,1.73,Military Forces of Nigeria
mistral,NIG19321,B,B,0.95,1.74,Military Forces of Nigeria
mistral,NIG8492,V,P,0.85,1.74,Military Forces of Nigeria
mistral,NIG17902,E,B,1.0,1.68,Military Forces of Nigeria
mistral,NIG18799,V,V,0.85,1.57,Police Forces of Nigeria
mistral,NIG29896,V,V,0.85,1.63,Military Forces of Nigeria
mistral,NIG17432,B,B,0.95,1.57,Military Forces of Nigeria
mistral,NIG34726,B,B,0.95,1.73,Military Forces of Nigeria
mistral,NIG20304,B,B,0.85,1.57,Police Forces of Nigeria
mistral,NIG36759,B,B,0.95,1.74,Military Forces of Nigeria
mistral,NIG15710,V,V,0.95,1.73,Military Forces of Nigeria
mistral,NIG23133,V,V,0.95,1.58,Military Forces of Nigeria
mistral,NIG32716,B,B,0.95,1.73,Police Forces of Nigeria
mistral,NIG35973,S,S,0.85,1.58,Police Forces of Nigeria
mistral,NIG16368,V,B,0.95,1.59,Military Forces of Nigeria
mistral,NIG6987,V,V,0.8,1.1,Police Forces of Nigeria
mistral,NIG22750,B,B,0.95,1.73,Police Forces of Nigeria
mistral,NIG32168,V,V,0.95,1.73,Police Forces of Nigeria
mistral,NIG38437,B,B,0.95,1.63,Military Forces of Nigeria
mistral,NIG19853,B,B,0.95,1.74,Police Forces of Nigeria
